"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1.1.79,"#4 - Tela Inicial",task,2019-03-12,2019-03-15,0,0,100,Rafael,1.1.78,,,green3
1.1.80,"Disponibilidade de testes",milestone,2019-03-18,2019-03-18,0,0,0,,1.1.79,,,blue2
1.1.81,"#9 - Estruturação e cadastro manual de empresas",task,2019-03-18,2019-03-18,0,0,0,Rafael,1.1.79,,,blue3
1.1.82,"#3 - Controller de Regras",task,2019-03-19,2019-03-20,0,0,0,Rafael,1.1.81,,,blue3
1.1.83,"#10 - Controller para recepção de leitura",task,2019-03-21,2019-03-22,0,0,0,Rafael,1.1.82,,,blue3
1.1.84,"#11 - Desenvolver ações para as regras",task,2019-03-25,2019-03-26,0,0,0,Rafael,1.1.83,,,blue3
1.1.85,"#9 - Tela de Regras",task,2019-03-27,2019-04-02,0,0,0,Rafael,1.1.84,,,green3
1.1.86,"#6 - Controller de IC - Incidentes",task,2019-04-03,2019-04-04,0,0,0,Rafael,1.1.85,,,blue3
1.1.87,"#12 - Tela de IC - Incidente",task,2019-04-05,2019-04-10,0,0,0,Rafael,1.1.86,,,green3
1.1.88,"#10 - Tela de Plantão",task,2019-04-11,2019-04-16,0,0,0,Rafael,1.1.87,,,green3
1.1.89,"#4 - Controller de Configurações",task,2019-04-17,2019-04-18,0,0,0,Rafael,1.1.88,,,blue3
1.1.90,"#11 - Tela de Configurações",task,2019-04-19,2019-04-23,0,0,0,Rafael,1.1.89,,,green3
1.1.91,"Tela de Valores",task,2019-04-24,2019-04-30,0,0,0,Rafael,1.1.90,,,green3
1.1.92,"#23 - Publicação Jenkins",task,,,0,0,0,,,,,blue2
1.1.93,"Ações - Gatilho para jogar numa tela de listagem",task,,,0,0,0,,,,,blue2
